Product,Projected Pillar,pricingdate,Validated Value Projected CV,Outlier,is Auction Date
future,3M,6/16/2025,98.3865,0.0,1
bond,20Y,2/24/2025,15.5759,0.0,1
future,1W,8/29/2025,67.0979,0.0,1
bond,40Y,5/5/2024,89.9144,0.0,1
irdswap,1Y,6/16/2023,15.3732,,1
future,25Y,10/19/2023,80.073,0.0,0
future,1Y,7/30/2024,69.1014,0.0,0
bond,1Y,7/11/2023,94.2332,0.0,0
future,1W,4/20/2023,48.6577,0.0,0
future,10Y,7/5/2023,22.5886,0.0,1
future,1W,9/18/2024,19.2636,0.0,1
bond,1Y,8/3/2024,79.3731,0.0,0
irdswap,1M,1/22/2024,10.2082,,1
future,100Y,2/27/2024,88.9951,0.0,0
irdswap,3M,4/20/2024,93.7604,,1
future,15Y,8/3/2023,27.5162,0.0,1
future,100Y,3/14/2024,70.8083,0.0,0
future,40Y,1/31/2024,42.348,0.0,0
bond,50Y,8/3/2025,16.1039,0.0,0
future,50Y,1/22/2024,47.1357,0.0,0
future,1Y,2/16/2024,10.4805,0.0,0
bond,30Y,12/12/2023,46.6516,0.0,0
irdswap,10Y,7/12/2025,74.0543,,1
irdswap,1Y,12/1/2024,80.4179,,1
bond,100Y,10/11/2024,11.228,0.0,0
future,20Y,6/16/2025,15.7121,0.0,1
irdswap,50Y,10/19/2023,79.6541,,0
future,30Y,9/18/2024,65.7443,0.0,1
bond,1M,12/17/2023,65.5925,0.0,1
future,50Y,2/2/2023,59.698,0.0,1
future,25Y,7/12/2025,67.6308,0.0,0
future,2Y,7/13/2024,60.5216,0.0,0
bond,30Y,10/26/2025,85.9659,0.0,0
bond,10Y,8/24/2024,67.1243,0.0,0
future,1Y,12/7/2024,60.8688,0.0,0
future,1M,7/28/2024,86.179,0.0,0
future,15Y,1/22/2025,87.7196,0.0,0
bond,50Y,7/20/2024,53.3198,0.0,0
irdswap,50Y,2/16/2023,73.7957,,1
irdswap,10Y,6/9/2024,34.9356,,1
irdswap,1W,9/22/2024,30.3662,,0
future,3M,8/23/2024,44.0268,0.0,0
irdswap,50Y,7/2/2023,71.1453,,0
irdswap,10Y,11/25/2025,20.0769,,0
irdswap,10Y,12/7/2024,79.0467,,1
bond,20Y,10/19/2023,83.49,0.0,1
irdswap,25Y,8/13/2024,69.4891,,1
future,2Y,6/16/2025,19.0653,0.0,1
bond,1Y,4/20/2024,94.3085,0.0,1
irdswap,1M,2/26/2025,22.0513,,0
future,25Y,12/31/2024,71.2515,0.0,0
bond,30Y,8/29/2024,59.4694,0.0,0
future,1W,10/3/2025,78.5967,0.0,1
future,20Y,12/7/2024,74.2518,0.0,0
irdswap,1W,4/20/2024,70.2025,,1
irdswap,1Y,3/16/2024,49.9,,1
bond,15Y,2/12/2023,91.193,0.0,0
future,3M,4/9/2025,71.3195,0.0,0
irdswap,40Y,1/23/2024,9.2218,,1
irdswap,30Y,3/23/2023,16.4772,,1
bond,40Y,1/6/2023,60.6707,0.0,1
future,1Y,12/19/2023,64.0151,0.0,0
bond,25Y,3/16/2025,66.2757,0.0,0
irdswap,30Y,6/16/2023,71.0552,,0
irdswap,3M,3/8/2025,41.8414,,1
future,25Y,5/13/2023,83.7929,0.0,1
bond,2Y,1/31/2024,78.9298,0.0,0
irdswap,25Y,10/21/2025,31.3849,,0
irdswap,50Y,6/8/2025,66.3072,,1
irdswap,25Y,7/17/2025,85.2645,,0
irdswap,1W,7/5/2023,73.3113,,0
bond,3M,8/29/2024,20.8384,0.0,0
future,1M,4/25/2023,34.9521,0.0,0
irdswap,15Y,6/2/2023,22.3716,,1
future,20Y,11/15/2023,88.9246,0.0,1
future,100Y,7/10/2025,52.8296,0.0,1
irdswap,1M,1/14/2025,96.8505,,1
future,50Y,1/26/2024,11.1162,0.0,0
bond,10Y,4/20/2023,12.8795,0.0,1
bond,1M,6/17/2023,59.1998,0.0,1
bond,100Y,1/31/2024,85.5244,0.0,0
bond,15Y,11/1/2025,37.1313,0.0,1
future,25Y,9/5/2023,42.3109,0.0,0
future,15Y,1/20/2025,27.6078,0.0,0
irdswap,25Y,9/5/2023,76.1851,,1
future,10Y,11/13/2024,75.7258,0.0,1
future,50Y,11/1/2025,19.4392,0.0,1
future,25Y,7/29/2024,48.0844,0.0,1
irdswap,1Y,3/2/2024,83.1089,,1
future,40Y,2/19/2024,51.51,0.0,1
irdswap,1M,4/26/2024,96.3718,,0
bond,20Y,3/10/2023,38.6808,0.0,0
future,40Y,7/12/2025,28.2655,0.0,1
future,2Y,7/6/2025,17.5217,0.0,0
irdswap,100Y,6/12/2023,76.8357,,0
future,1M,11/14/2023,26.131,0.0,0
irdswap,10Y,11/9/2023,84.7927,,1
bond,1M,3/10/2023,72.471,0.0,0
future,15Y,3/16/2025,54.6604,0.0,0
irdswap,100Y,4/26/2024,3.4871,,1
future,1W,4/9/2025,82.4067,0.0,1
bond,1W,4/20/2023,97.0416,0.0,1
bond,25Y,5/28/2023,7.9684,0.0,1
bond,1M,12/10/2023,9.4131,0.0,0
irdswap,1W,5/1/2025,80.6154,,1
irdswap,20Y,5/5/2023,85.7874,,1
irdswap,50Y,8/12/2024,49.4205,,1
bond,1Y,10/21/2025,14.494,0.0,1
irdswap,20Y,9/13/2025,35.905,,0
future,15Y,7/29/2024,32.7485,0.0,1
future,50Y,12/24/2024,53.5302,0.0,1
future,1M,4/25/2024,53.719,0.0,0
irdswap,40Y,8/24/2024,13.7628,,0
bond,10Y,6/29/2024,47.4538,0.0,1
future,100Y,9/22/2024,26.2496,0.0,0
irdswap,100Y,10/11/2025,3.1868,,0
bond,100Y,10/3/2025,40.9454,0.0,1
irdswap,2Y,7/17/2025,52.9433,,0
future,50Y,7/17/2025,98.5652,0.0,1
future,10Y,6/16/2023,27.308,0.0,0
irdswap,30Y,7/10/2025,39.5834,,1
bond,50Y,5/1/2025,90.2567,0.0,1
bond,1M,9/18/2024,38.3227,0.0,1
irdswap,1W,3/2/2024,67.501,,1
irdswap,2Y,5/5/2025,84.7612,,1
bond,1Y,2/1/2025,20.8057,0.0,0
irdswap,50Y,1/6/2023,77.3175,,0
future,2Y,6/12/2023,35.6864,0.0,0
irdswap,1Y,5/5/2025,56.3938,,0
bond,30Y,6/17/2025,43.441,1.0,0
bond,2Y,8/3/2025,30.1121,0.0,0
future,1Y,7/6/2025,67.0869,0.0,1
future,100Y,3/5/2025,20.3807,1.0,1
bond,2Y,1/18/2023,88.0006,0.0,1
bond,40Y,3/21/2024,36.419,0.0,0
future,25Y,7/5/2023,43.2244,1.0,1
future,3M,8/19/2024,54.3535,0.0,1
irdswap,1Y,7/30/2024,31.6844,,0
irdswap,15Y,8/29/2025,79.643,,1
bond,1M,10/19/2025,16.8809,0.0,1
future,25Y,8/29/2024,82.2958,0.0,1
bond,20Y,8/1/2025,31.232,0.0,1
bond,10Y,1/6/2023,16.1207,0.0,0
irdswap,1W,8/28/2023,20.0743,,1
bond,40Y,4/10/2025,27.3902,0.0,1
future,40Y,5/1/2025,42.3427,1.0,1
bond,40Y,12/21/2025,37.2773,0.0,1
bond,1W,1/12/2025,38.7828,0.0,0
bond,50Y,5/5/2023,20.2302,0.0,1
future,1Y,3/10/2023,40.2072,0.0,1
future,1Y,4/4/2025,51.6284,0.0,1
irdswap,1M,10/3/2025,66.6123,,0
irdswap,15Y,11/20/2025,99.4295,,0
irdswap,15Y,11/25/2025,48.4593,,1
bond,15Y,6/12/2023,90.7566,1.0,0
irdswap,2Y,8/9/2025,7.5089,,1
future,1M,3/14/2024,88.0872,0.0,0
irdswap,100Y,6/3/2024,50.5764,,0
bond,20Y,10/27/2023,86.8674,1.0,0
future,25Y,11/13/2024,87.8132,0.0,0
bond,100Y,8/13/2024,4.4133,1.0,1
irdswap,3M,4/4/2025,48.2417,,0
irdswap,30Y,2/1/2025,34.4833,,1
bond,1Y,8/1/2025,0.8267,0.0,0
bond,20Y,6/8/2025,35.2567,0.0,0
future,3M,4/6/2024,41.9493,0.0,1
bond,30Y,3/16/2025,7.7595,0.0,1
bond,3M,4/28/2025,21.85,0.0,1
bond,1W,6/7/2023,1.9178,0.0,1
bond,30Y,5/5/2024,2.6434,0.0,0
future,10Y,4/25/2024,53.2595,0.0,0
future,30Y,7/13/2024,28.3105,0.0,1
irdswap,30Y,1/26/2023,0.1048,,1
irdswap,3M,4/10/2025,16.3295,,1
bond,50Y,7/30/2024,60.4183,0.0,0
irdswap,1W,1/6/2023,23.2049,,0
bond,100Y,4/28/2025,23.152,0.0,1
irdswap,1W,10/30/2024,81.8592,,0
future,20Y,3/13/2025,88.1927,0.0,0
bond,20Y,6/2/2023,3.3402,0.0,0
bond,15Y,8/1/2024,4.4946,0.0,0
future,1Y,6/16/2025,90.3726,0.0,0
bond,1W,10/16/2024,18.2217,0.0,0
bond,10Y,3/18/2024,61.9614,0.0,0
bond,40Y,4/25/2023,75.4939,0.0,1
future,100Y,10/16/2024,64.3898,1.0,1
irdswap,10Y,1/22/2025,79.0476,,1
future,2Y,7/11/2023,46.8227,0.0,0
future,30Y,3/11/2023,98.2385,0.0,1
bond,1W,6/15/2025,89.5978,1.0,1
irdswap,50Y,1/26/2024,87.1499,,1
bond,15Y,8/9/2025,86.9893,0.0,1
future,1M,11/5/2024,96.7268,0.0,0
irdswap,25Y,8/9/2025,23.5275,,0
bond,2Y,8/23/2024,74.8189,0.0,1
future,40Y,8/28/2024,78.3623,1.0,1
future,15Y,8/23/2024,52.4796,0.0,1
irdswap,2Y,2/24/2025,46.6484,,0
bond,30Y,2/12/2023,64.0173,0.0,1
future,15Y,11/20/2025,43.6377,0.0,1
bond,30Y,6/22/2024,21.5944,0.0,1
future,1Y,6/11/2024,39.6524,0.0,0
irdswap,30Y,5/30/2024,56.8658,,1
bond,3M,1/26/2024,0.6575,0.0,0
bond,30Y,3/21/2024,64.4534,0.0,1
irdswap,2Y,8/3/2025,14.6218,,0
future,15Y,2/3/2024,96.0827,0.0,1
future,1Y,1/23/2024,81.3802,0.0,0
future,30Y,12/21/2025,59.8222,0.0,0
bond,1W,8/26/2024,46.1268,0.0,1
irdswap,25Y,11/15/2024,96.0549,,0
irdswap,2Y,12/15/2023,84.0434,,1
irdswap,15Y,10/3/2025,27.0542,,1
irdswap,1M,3/23/2023,96.2075,,0
bond,3M,12/22/2024,93.6514,0.0,1
bond,50Y,11/5/2024,99.3167,0.0,1
bond,30Y,2/16/2024,54.9958,1.0,1
bond,20Y,4/9/2025,83.4799,1.0,1
future,30Y,6/17/2025,78.9641,0.0,1
future,10Y,9/5/2025,42.0836,0.0,0
irdswap,25Y,12/22/2024,60.1692,,0
future,25Y,5/11/2025,51.5424,0.0,1
future,20Y,7/1/2024,56.043,0.0,1
irdswap,30Y,7/12/2025,21.9678,,1
irdswap,10Y,4/26/2024,20.5224,,0
irdswap,20Y,5/28/2023,69.3801,,1
bond,2Y,7/20/2024,58.7868,0.0,1
bond,40Y,4/25/2025,32.8055,0.0,0
bond,1M,8/26/2024,37.427,0.0,1
future,50Y,6/9/2024,79.1612,0.0,0
bond,1W,7/29/2024,27.4417,0.0,0
irdswap,1Y,9/5/2023,43.2262,,1
bond,2Y,2/16/2023,68.3171,0.0,1
future,20Y,2/27/2025,81.0465,0.0,1
irdswap,30Y,12/30/2024,15.3699,,1
bond,30Y,6/3/2024,69.2363,0.0,1
irdswap,1M,10/11/2024,3.4848,,0
bond,30Y,8/12/2024,2.142,0.0,1
future,30Y,7/11/2023,60.542,0.0,0
future,30Y,8/26/2024,78.0447,0.0,0
bond,3M,4/2/2025,65.8017,0.0,0
irdswap,25Y,4/25/2023,78.19,,0
future,100Y,10/24/2023,89.0389,1.0,1
irdswap,1Y,4/25/2023,58.4354,,1
irdswap,40Y,5/7/2025,40.3674,,0
future,10Y,1/26/2023,89.132,0.0,1
irdswap,10Y,3/2/2024,56.5076,,1
bond,50Y,6/7/2023,53.2116,0.0,1
bond,2Y,2/12/2023,56.1429,0.0,0
future,2Y,8/24/2024,31.8767,0.0,1
future,20Y,10/11/2024,2.4929,0.0,1
bond,1Y,10/16/2024,59.8399,0.0,0
irdswap,40Y,9/29/2024,43.9471,,0
irdswap,2Y,12/17/2023,51.0736,,0
irdswap,20Y,10/21/2025,69.4148,,1
irdswap,2Y,12/9/2025,97.9321,,1
bond,3M,12/24/2024,79.418,0.0,1
bond,25Y,12/30/2024,19.8372,0.0,1
future,100Y,10/19/2023,49.6776,0.0,1
bond,15Y,12/24/2024,85.9141,0.0,1
bond,1Y,11/1/2025,60.4165,1.0,1
irdswap,30Y,1/3/2025,77.6829,,0
bond,20Y,11/13/2024,1.3129,0.0,1
irdswap,20Y,2/2/2023,85.1104,,0
irdswap,1Y,10/3/2025,69.2498,,0
bond,1Y,10/28/2024,5.9911,0.0,1
irdswap,1M,12/13/2025,1.113,,0
bond,40Y,10/11/2025,73.7972,0.0,1
future,10Y,2/16/2024,27.4187,0.0,1
irdswap,20Y,12/14/2025,18.3113,,0
bond,50Y,9/21/2025,96.6064,0.0,1
irdswap,1Y,1/20/2024,14.9336,,1
future,3M,9/21/2023,53.0182,0.0,0
future,30Y,8/3/2024,98.048,0.0,0
irdswap,15Y,7/28/2024,21.2562,,1
bond,3M,3/2/2025,54.1602,0.0,1
irdswap,15Y,5/30/2024,32.876,,1
future,10Y,1/20/2025,38.5479,0.0,1
irdswap,3M,3/18/2024,28.3147,,0
irdswap,2Y,3/23/2023,1.6632,,1
irdswap,1M,2/25/2025,5.8328,,1
future,100Y,4/17/2023,5.5451,0.0,1
future,30Y,3/2/2024,84.478,1.0,1
future,15Y,12/8/2023,3.0383,1.0,0
irdswap,50Y,12/21/2023,48.4485,,1
bond,1W,5/5/2025,58.4914,0.0,0
future,1Y,4/17/2023,94.3332,0.0,0
irdswap,1W,3/14/2024,65.1251,,1
future,3M,12/21/2023,99.0284,0.0,0
irdswap,30Y,8/3/2025,51.2448,,1
bond,40Y,2/16/2023,49.593,0.0,0
irdswap,3M,12/10/2023,6.9423,,0
future,1W,10/27/2023,0.6153,1.0,0
future,1M,6/10/2024,90.2628,0.0,1
future,1Y,2/18/2024,98.3979,0.0,0
irdswap,25Y,6/12/2023,41.8496,,0
future,15Y,10/3/2023,33.3609,0.0,1
bond,1Y,7/1/2023,46.1741,0.0,1
future,3M,2/2/2025,71.7286,0.0,1
future,10Y,8/13/2024,88.1896,0.0,0
future,20Y,3/2/2025,36.8943,0.0,0
irdswap,40Y,2/15/2025,43.7236,,1
bond,1W,10/21/2025,16.3694,0.0,0
irdswap,50Y,9/5/2025,56.0318,,1
bond,1W,8/1/2024,30.2438,1.0,0
future,2Y,10/11/2024,54.0095,0.0,0
bond,40Y,12/20/2025,97.5495,0.0,0
future,100Y,2/2/2023,23.4224,0.0,0
irdswap,1M,2/12/2023,66.884,,0
irdswap,25Y,12/13/2025,1.4641,,1
irdswap,1Y,4/2/2025,46.3296,,0
irdswap,40Y,4/2/2025,79.9294,,0
irdswap,1M,6/10/2024,15.4296,,0
irdswap,3M,4/20/2023,26.6127,,0
future,20Y,5/24/2025,27.4174,0.0,1
irdswap,100Y,10/30/2024,79.8182,,1
irdswap,50Y,3/18/2024,92.9265,,1
bond,20Y,1/3/2025,83.2635,0.0,0
bond,1Y,8/18/2024,13.9844,0.0,0
irdswap,1M,8/9/2025,19.5434,,1
bond,2Y,7/11/2023,37.6874,0.0,1
bond,1Y,11/19/2024,54.7326,0.0,1
bond,1M,8/28/2023,46.9452,0.0,0
future,2Y,1/23/2024,14.6467,0.0,0
bond,40Y,4/24/2024,66.8926,0.0,0
irdswap,20Y,9/3/2024,29.6394,,0
future,20Y,12/8/2023,25.057,0.0,0
future,1Y,7/20/2023,27.438,1.0,1
future,10Y,4/20/2023,95.7212,0.0,0
irdswap,100Y,4/20/2024,68.0188,,0
future,10Y,7/15/2024,24.7114,0.0,0
irdswap,10Y,12/1/2024,48.8035,,0
bond,100Y,2/27/2024,80.5907,0.0,0
future,1M,12/8/2023,81.7329,0.0,1
future,30Y,1/21/2025,26.1412,0.0,1
irdswap,20Y,7/1/2024,15.604,,1
irdswap,3M,1/26/2023,44.7632,,1
irdswap,25Y,12/4/2023,41.5664,,1
